mfcc,labels,label_names
"tensor([[[-130.8284,  -95.0501,  -78.3521,  ..., -146.3509, -142.5927,
          -132.4735],
         [  43.3946,   45.3580,   42.5829,  ...,   65.4308,   64.3986,
            60.8485],
         [  26.8535,   27.5935,   20.2282,  ...,   40.8306,   29.8110,
            39.6462],
         ...,
         [  11.1045,   -7.3557,   -9.8843,  ...,    6.2990,    2.2880,
             0.5081],
         [  -1.5226,  -12.8424,   -7.5740,  ...,   -3.2939,   -5.6226,
            -2.8086],
         [   3.0732,   -7.1131,  -11.1992,  ...,  -13.5846,  -10.3114,
             3.7682]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 1.7089e+00, -2.9787e+01,  6.1098e+00,  ..., -3.4407e+02,
          -3.4407e+02, -3.4407e+02],
         [ 4.8621e+01,  4.6506e+01,  5.9236e+01,  ...,  8.1068e-06,
           8.1068e-06,  8.1068e-06],
         [ 8.5283e-01,  3.1778e+00, -1.8448e+01,  ..., -2.5455e-05,
          -2.5455e-05, -2.5455e-05],
         ...,
         [ 5.8478e+00,  2.0452e+00, -2.2873e+00,  ...,  1.0807e-04,
           1.0807e-04,  1.0807e-04],
         [-3.8028e+00, -5.8669e+00, -9.3124e+00,  ..., -6.1183e-05,
          -6.1183e-05, -6.1183e-05],
         [ 7.4454e+00, -3.5162e+00,  5.4168e+00,  ..., -1.9413e-05,
          -1.9413e-05, -1.9413e-05]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-6.2608e+00, -1.7781e+00,  4.9415e-02,  ...,  5.7229e+01,
           4.7626e+01,  5.1606e+01],
         [ 2.2709e+01,  2.6371e+01,  2.5446e+01,  ...,  1.6931e+01,
           2.0786e+01,  2.9169e+01],
         [ 2.6299e+00, -6.0703e+00, -4.5362e+00,  ...,  1.8796e+00,
          -2.1180e+00, -3.4877e-02],
         ...,
         [ 4.0891e+00, -2.4808e+00, -2.9330e-01,  ..., -3.2365e+00,
          -2.8774e+00, -2.0842e-02],
         [ 4.9283e+00, -1.4902e+00,  2.9502e+00,  ..., -2.2677e+00,
           2.2355e+00,  6.0817e+00],
         [ 5.7863e-01, -5.0989e+00, -3.8311e+00,  ..., -9.3458e+00,
          -8.7450e+00, -6.2526e+00]]])","['/m/05pd6', None, None, None, None]","['Orchestra', None, None, None, None]"
"tensor([[[ 8.7970e+01,  6.9063e+01,  5.7411e+01,  ..., -2.9552e+02,
          -2.9552e+02, -2.9552e+02],
         [ 3.5465e+01,  3.2239e+01,  3.3186e+01,  ...,  1.6013e-05,
           1.6013e-05,  1.6013e-05],
         [-2.0879e+01, -1.8624e+01, -3.7290e+00,  ..., -8.8368e-06,
          -8.8368e-06, -8.8368e-06],
         ...,
         [ 4.5034e+00,  6.5285e+00, -1.7636e+00,  ...,  9.4387e-05,
           9.4387e-05,  9.4387e-05],
         [ 5.9674e+00,  8.4506e+00,  4.1593e+00,  ..., -5.1958e-05,
          -5.1958e-05, -5.1958e-05],
         [ 1.8651e+00,  5.3563e+00,  7.0061e+00,  ..., -1.7497e-05,
          -1.7497e-05, -1.7497e-05]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[  33.7821,   30.7603,   34.4070,  ..., -211.4288, -209.3735,
          -199.8508],
         [  49.6982,   57.5738,   53.6145,  ...,   72.9420,   75.8031,
            79.6190],
         [ -10.6997,  -12.0280,   -4.0678,  ...,   38.4954,   40.7666,
            33.8680],
         ...,
         [   6.9624,   -6.6566,    1.1954,  ...,   -0.4672,    2.3502,
             0.8242],
         [   1.5922,    3.9313,    4.0904,  ...,    0.2448,    1.0831,
             1.2720],
         [   2.0511,   -6.0632,   -6.3942,  ...,   -2.4437,   -2.5477,
             1.6877]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-115.8887, -117.5299, -117.3124,  ..., -111.9728, -111.2201,
          -118.1984],
         [  29.9811,   21.9341,   29.4821,  ...,   15.3516,   13.1758,
            16.1531],
         [  -1.6173,   -2.7756,    7.8727,  ...,   -0.8482,   -2.3805,
             3.8176],
         ...,
         [  -3.6963,   -1.8564,   -1.7467,  ...,    3.0119,   -0.6602,
            -2.0664],
         [   3.4972,    0.6057,   -0.4202,  ...,   -0.2985,    0.3667,
            -4.9223],
         [   8.2351,   -3.1437,    1.6651,  ...,   -2.3838,    0.9296,
            10.6929]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 75.1699,  86.5844,  87.8658,  ...,  36.4795,  50.7771,  56.0339],
         [ 12.9156,  24.3809,  29.8704,  ...,  36.8555,  32.3865,  18.9780],
         [ -9.6422,  11.8403,   8.2824,  ...,  29.5982,  14.4415,   8.9786],
         ...,
         [ 14.0596,   4.2527,   0.9479,  ...,   1.1293,   0.1286,  -3.6541],
         [  0.6581,  -9.1918,  -3.8247,  ...,   1.6544,  -2.9022,   8.0964],
         [-14.8202,  -8.6685,  -0.5729,  ...,  -2.5920,   4.2540,   7.3057]]])","[None, '/m/064t9', None, None, None]","[None, 'Pop music', None, None, None]"
"tensor([[[77.0200, 76.6585, 75.2684,  ..., 66.4623, 68.9596, 80.3016],
         [39.7802, 43.3953, 47.1063,  ..., 34.6608, 33.5167, 28.9245],
         [-4.9640, -7.1008,  0.6775,  ...,  2.4942,  7.0839,  1.5768],
         ...,
         [-2.1880, -1.8111,  1.9465,  ..., 11.5195, 11.8891, 10.6368],
         [ 1.4961,  7.7575,  5.2904,  ..., 11.5051,  6.9442,  2.7624],
         [17.0936,  9.4651,  7.5460,  ...,  0.9094, -2.3648, -0.2214]]])","[None, None, None, '/m/0ggx5q', None]","[None, None, None, 'Dance music', None]"
"tensor([[[-27.2901, -53.9947, -58.2472,  ...,  20.7223,  24.3002,  16.3303],
         [ 57.7199,  67.3278,  72.5245,  ...,  44.6653,  51.0852,  45.0509],
         [ 13.0329, -17.4913,  -6.4350,  ...,  -5.3913, -11.3801, -23.0375],
         ...,
         [ -5.6683, -11.2771, -13.3605,  ...,  -2.6841,  -3.4137,   3.8243],
         [-15.4273, -18.0398, -14.8109,  ..., -15.7571, -10.1748,  -7.4721],
         [ -0.6239,  -1.3971,  -1.8614,  ...,  -4.6169,  -3.5340,   0.4114]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[90.5282, 82.5205, 76.0996,  ..., 53.1915, 53.4791, 43.3905],
         [56.3623, 74.7261, 87.1133,  ..., 51.1559, 51.7634, 39.8984],
         [ 3.4543, -5.3439,  5.7334,  ...,  6.5234,  4.2612,  2.1821],
         ...,
         [ 1.3981, -4.1750, -2.9559,  ..., -2.7598, -0.8462,  3.7376],
         [-4.0120,  0.2890, -3.9778,  ...,  5.6778,  8.4918,  9.3960],
         [-1.2483, -1.1555, -4.2096,  ...,  3.9007,  4.4577,  6.3213]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-3.1696e+02, -3.1696e+02, -3.1696e+02,  ...,  5.0511e+01,
           4.6361e+01,  3.9839e+01],
         [ 1.1114e-05,  1.1114e-05,  1.1114e-05,  ...,  2.3649e+01,
           2.5499e+01,  1.7638e+01],
         [-2.4614e-05, -2.4614e-05, -2.4614e-05,  ..., -2.0039e+01,
          -2.2312e+01, -1.7988e+01],
         ...,
         [ 9.7071e-05,  9.7071e-05,  9.7071e-05,  ..., -5.5701e+00,
          -6.1648e-02, -2.7224e+00],
         [-5.7156e-05, -5.7156e-05, -5.7156e-05,  ..., -2.7473e+00,
           3.7268e-01, -1.0339e+01],
         [-1.7811e-05, -1.7811e-05, -1.7811e-05,  ..., -3.1202e+00,
          -3.7422e+00, -8.4957e+00]]])","[None, '/m/06cqb', None, None, None]","[None, 'Reggae', None, None, None]"
"tensor([[[ 9.3134e+01,  9.4529e+01,  9.7311e+01,  ..., -5.6990e+01,
          -5.2437e+01, -5.0170e+01],
         [ 5.0334e+01,  5.3405e+01,  5.4902e+01,  ...,  6.6339e+01,
           7.4372e+01,  7.1451e+01],
         [-1.0705e+00, -1.0534e+01, -1.4764e+01,  ..., -3.0588e+00,
          -1.3459e-02, -7.8999e+00],
         ...,
         [-1.7433e-01, -8.5984e+00, -8.8813e+00,  ..., -5.9402e+00,
          -9.7651e+00, -2.0442e+00],
         [-5.5778e+00, -4.2250e+00, -5.4111e+00,  ...,  8.7502e-01,
           1.1130e+00, -1.3717e+00],
         [ 5.1490e+00,  4.2633e+00, -1.3760e-01,  ..., -2.5165e+00,
           1.5207e+00, -1.6758e+00]]])","[None, None, None, None, '/t/dd00033']","[None, None, None, None, 'Sad music']"
"tensor([[[  3.8476,  -3.8126,  -1.0349,  ..., -62.8201, -46.7414, -22.1036],
         [ 17.9237,   9.2845,   6.7351,  ...,  21.9760,  27.1268,  40.6284],
         [-28.2252, -42.0246, -38.7129,  ..., -31.5085, -33.7733, -24.8354],
         ...,
         [  3.3760,  -6.6722,  -2.3929,  ...,  -7.6379,  -8.7316,  -1.3408],
         [ -4.4879,  -1.2647,   1.8912,  ...,   3.0701,   7.6556,  -3.1334],
         [  5.8465,   8.7201,   8.3464,  ...,   3.9215,   8.7604,   7.1417]]])","[None, '/m/0y4f8', None, None, None]","[None, 'Vocal music', None, None, None]"
"tensor([[[-10.5868,  -7.4996, -12.2516,  ..., -53.9913, -51.9495, -48.7055],
         [ 53.0606,  69.8791,  63.6748,  ...,  75.8243,  81.6587,  65.1537],
         [ -8.3233,  -9.2597, -12.3289,  ..., -20.1521, -19.6024, -17.6177],
         ...,
         [-12.6111, -11.1613,  -4.8944,  ..., -12.2931, -10.1537, -10.5276],
         [ -9.2179,   0.6950,   3.0525,  ...,   4.8790,   9.3817,   1.2751],
         [  1.3494,  -1.8915,  -5.1899,  ...,  -0.1374,   7.5393,   7.7112]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[  40.8741,   50.4465,   47.3100,  ..., -190.4937, -189.6363,
          -172.9113],
         [  17.2752,   25.1394,   15.8776,  ...,   96.4855,   96.2286,
            95.9299],
         [  -6.8292,    0.2450,   -2.9522,  ...,   50.1946,   48.2507,
            29.1306],
         ...,
         [   3.2027,   -6.4539,  -10.0827,  ...,   -4.5364,   -5.1242,
            -4.2007],
         [   6.2609,    1.2073,   -0.1969,  ...,   -3.3142,   -4.1082,
            -6.8809],
         [   1.4805,   -3.2551,   -2.9378,  ...,   -1.5645,   -4.2416,
            -1.3085]]])","[None, '/m/064t9', None, None, None]","[None, 'Pop music', None, None, None]"
"tensor([[[ 45.5551,  38.7096,  36.7121,  ...,  14.6591,  16.1297,  13.5508],
         [ 33.1976,  39.6211,  41.7303,  ...,  59.0365,  58.9713,  59.3405],
         [-12.4205,  -1.0079,   5.0657,  ...,  22.8710,  25.4062,  27.5551],
         ...,
         [-14.6223,  -9.1506, -13.2618,  ...,  -3.9623,  -2.3470,   1.0796],
         [ -6.9004,  -5.9773,  -8.6645,  ...,  -3.0709,  -9.8483,  -9.2441],
         [  3.4158,   3.4736,   8.0965,  ...,  -1.2373,  -3.9285,  -2.3601]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-3.2468e+02, -1.8402e+02, -7.8338e+01,  ..., -3.5474e+02,
          -3.5474e+02, -3.5474e+02],
         [ 2.3489e+01,  1.1873e+02,  2.6021e+01,  ...,  2.8801e-05,
           2.8801e-05,  2.8801e-05],
         [-1.0819e+01, -2.4894e+01,  9.9907e+00,  ..., -2.2183e-05,
          -2.2183e-05, -2.2183e-05],
         ...,
         [ 4.2554e+00,  1.3131e+01,  6.4897e+00,  ...,  1.0856e-04,
           1.0856e-04,  1.0856e-04],
         [-1.3473e+00,  6.6770e+00, -1.6513e+00,  ..., -6.3565e-05,
          -6.3565e-05, -6.3565e-05],
         [-4.7221e+00, -6.3333e+00,  7.8947e+00,  ..., -2.2717e-05,
          -2.2717e-05, -2.2717e-05]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-115.9597, -110.6982, -111.0327,  ...,  -27.7562,  -33.8816,
           -37.6112],
         [  41.0042,   54.7819,   44.1235,  ...,   27.7694,   32.5464,
            27.7164],
         [   1.2029,   -2.5794,    1.9857,  ...,    3.7504,    4.5748,
             0.3407],
         ...,
         [  -6.8266,   -1.6972,   -1.5450,  ...,    5.4363,    4.0066,
             0.6182],
         [   0.2053,    3.6956,   -4.8152,  ...,    2.4810,    8.1275,
             2.7888],
         [   7.7201,    5.8536,    0.8238,  ...,   -1.5822,    3.5734,
            -4.2423]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ -93.8380, -110.6567, -113.6239,  ...,    3.9613,   26.4374,
            14.5275],
         [  52.2534,   35.9385,   37.3893,  ...,   59.2971,   47.5183,
            52.9872],
         [  -4.6572,  -30.4589,  -23.1816,  ...,   29.9640,   26.8674,
            22.5865],
         ...,
         [  -4.9748,   -4.5055,   -6.6693,  ...,    1.4336,   -1.9245,
           -10.5482],
         [  11.3975,   13.8639,   13.8837,  ...,    7.0410,    4.8036,
             5.6393],
         [   9.6024,   13.4028,   12.2232,  ...,   -0.3177,    4.8119,
             3.9571]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ -53.5964,   -5.8677,   -8.0492,  ..., -160.0107,  -76.7351,
           -39.4372],
         [   3.7408,    4.8392,   -5.0641,  ...,   56.3061,   30.0682,
            41.5598],
         [ -12.1511,  -13.3184,  -14.3780,  ...,   -6.9757,  -14.5195,
           -16.7590],
         ...,
         [  -0.2131,   -7.3595,   -6.6699,  ...,    5.3847,    7.1301,
            20.0787],
         [   0.4499,   -6.4296,  -11.3966,  ...,    5.4104,    0.5715,
             9.8232],
         [   2.3886,    3.3826,    2.0815,  ...,   -0.6500,   -3.7916,
             4.4753]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-2.6642e+02, -2.6642e+02, -2.6642e+02,  ...,  8.7638e+01,
           9.0831e+01,  8.7438e+01],
         [ 3.4093e-07,  3.4093e-07,  3.4093e-07,  ...,  2.4221e+01,
           2.1745e+01,  2.3485e+01],
         [-1.6300e-05, -1.6300e-05, -1.6300e-05,  ...,  2.6387e+01,
           1.2909e+01,  1.7027e+01],
         ...,
         [ 8.3597e-05,  8.3597e-05,  8.3597e-05,  ...,  9.2447e+00,
           6.8229e+00,  1.3694e+01],
         [-4.8047e-05, -4.8047e-05, -4.8047e-05,  ...,  8.0809e+00,
           1.1833e+01,  1.3521e+01],
         [-1.7428e-05, -1.7428e-05, -1.7428e-05,  ..., -9.8495e-01,
           7.4968e-01, -3.4439e-01]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ -90.4342, -109.4618, -121.0660,  ..., -117.5546, -103.1955,
           -88.4908],
         [  48.6645,   55.7931,   52.0908,  ...,   49.4950,   41.5306,
            32.7585],
         [ -36.2911,  -51.3129,  -54.5527,  ...,  -43.5123,  -54.9752,
           -31.6353],
         ...,
         [   8.1045,    1.7416,   -1.0699,  ...,   -2.8195,   -2.3749,
            -4.4577],
         [   2.3504,   -7.4933,   -3.2735,  ...,   -5.1444,   -5.5650,
            -8.6798],
         [  -6.9255,   -5.1032,    0.9675,  ...,   -5.0051,    2.3407,
            -2.7692]]])","[None, '/m/0y4f8', None, None, None]","[None, 'Vocal music', None, None, None]"
"tensor([[[ 1.7913e+01, -6.3603e+01, -6.1904e+01,  ..., -1.0391e+02,
          -1.0510e+02, -1.4944e+01],
         [-6.0683e-01,  5.1029e+01,  5.4760e+01,  ...,  4.6599e+01,
           4.9565e+01, -9.8572e+00],
         [-2.3943e+01, -1.0494e+02, -9.3667e+01,  ..., -8.0656e+01,
          -8.0060e+01, -2.8654e+01],
         ...,
         [-6.0682e+00, -1.0893e+01, -1.4959e+01,  ..., -4.5201e+00,
          -7.9891e+00,  4.3055e+00],
         [-1.7894e+01, -1.5822e+01, -2.0424e+01,  ..., -1.5964e+01,
          -1.7049e+01, -3.8499e+00],
         [ 8.6954e+00,  5.9249e-02, -1.7442e-01,  ..., -3.6349e+00,
          -3.4995e+00,  7.5127e+00]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 35.7878,  46.2089,  39.4887,  ...,  46.6053,  49.5778,  44.9704],
         [ 31.8734,  44.1765,  43.0963,  ...,  23.5674,  26.1346,   8.1162],
         [ -8.6197,  -9.4463, -14.5223,  ...,  -8.6630,  -3.9803, -15.3300],
         ...,
         [ -3.1102,  -5.4529,  -2.6151,  ..., -10.1173,  -9.6560,  -4.2237],
         [ -0.3279,  -0.2554,  -1.7097,  ...,   5.9929,   3.9256,  10.2397],
         [ -4.5219,  -6.6400,  -7.9795,  ...,   5.0612,   7.9751,  10.1709]]])","[None, '/m/06by7', None, None, None]","[None, 'Rock music', None, None, None]"
"tensor([[[-1.0841e+01, -2.5694e+01, -2.8934e+01,  ..., -3.6061e+02,
          -3.6546e+02, -3.6561e+02],
         [ 3.3178e+01,  5.3188e+01,  5.5643e+01,  ..., -9.9712e+00,
          -1.7295e+01, -1.3323e+01],
         [-2.8681e+01, -3.7448e+01, -3.8338e+01,  ..., -1.7147e+00,
          -4.6866e+00, -2.6219e+00],
         ...,
         [-9.6417e+00, -1.2130e+01, -1.0505e+01,  ...,  6.3172e+00,
          -3.0985e-01,  5.5524e-01],
         [ 2.5229e+00,  4.3135e+00,  3.8344e+00,  ..., -1.6091e+00,
           9.3262e-01, -2.8916e+00],
         [ 8.7964e+00, -1.0507e+00, -1.3829e+00,  ..., -9.2724e-01,
          -1.9781e+00,  2.9094e+00]]])","['/m/0fx80y', None, None, None, None]","['Plucked string instrument', None, None, None, None]"
"tensor([[[-4.6439e+01, -2.4155e+01, -2.4156e+01,  ...,  2.7781e+01,
           2.1371e+01,  2.0020e+01],
         [ 3.1652e+01,  4.3639e+01,  4.0689e+01,  ...,  4.4759e+01,
           4.0903e+01,  5.2049e+01],
         [-4.3616e+00, -1.5802e+01, -2.4993e+01,  ..., -5.0548e+00,
          -2.5318e+01, -2.3617e+01],
         ...,
         [ 2.5175e+00, -3.8203e+00,  1.1213e+01,  ...,  4.7385e+00,
           5.7397e+00, -2.4993e+00],
         [-7.3426e+00,  8.2637e-02, -2.9018e+00,  ..., -4.0667e-02,
           1.3000e+00, -4.7833e+00],
         [-7.2596e+00, -9.6892e+00, -1.1521e+01,  ...,  1.3617e+00,
           1.9111e+00, -3.5994e+00]]])","[None, None, None, '/m/03r5q_', None]","[None, None, None, 'Jingle (music)', None]"
"tensor([[[-51.5459, -84.0933, -95.2776,  ...,  -6.1391,  -2.4007,  24.2600],
         [ 75.4852,  70.3344,  77.6773,  ...,  24.9139,  24.3582,  41.9557],
         [  5.3480,  -2.0167,  -0.9867,  ..., -18.0586, -15.3925,   2.5308],
         ...,
         [-13.8453, -19.4242, -17.1234,  ...,  -4.7099,  -4.5081,  -1.1612],
         [ -2.4981, -10.0280, -13.4943,  ..., -22.9496, -19.2941,  -8.8663],
         [  1.5428,  -1.3766,  -5.1644,  ..., -11.9398, -10.5576,  -2.0470]]])","['/m/05pd6', '/m/0ggq0m', None, None, None]","['Orchestra', 'Classical music', None, None, None]"
"tensor([[[ 78.6171,  75.3815,  72.6982,  ...,  43.8300,  51.0844,  49.6420],
         [  4.6051,   1.4048,  -6.1633,  ...,  16.5379,  22.2439,  23.8075],
         [  9.3178,  21.3657,  17.6032,  ...,  10.7656,  10.0825,   8.1229],
         ...,
         [ -4.7252,  -6.8109,  -1.4975,  ...,   1.6731,  -2.2027, -10.5439],
         [  0.2362,   0.8862,   0.8499,  ...,   8.8622,   8.5140,   7.9020],
         [ -7.1180,   2.1052,   3.1327,  ...,  -1.3423,  -2.8427,   7.6895]]])","[None, '/m/06by7', None, None, None]","[None, 'Rock music', None, None, None]"
"tensor([[[ -49.5839,  -68.5745, -102.9956,  ...,  -12.0497,   -9.4696,
            -6.5414],
         [  71.1340,   68.4035,   69.7078,  ...,   41.1003,   44.3832,
            35.8953],
         [  -4.5505,    1.2170,    9.0266,  ...,   19.7341,   18.0349,
            10.5762],
         ...,
         [   6.1201,   11.2543,    7.3683,  ...,    3.5303,    8.9173,
            -0.7332],
         [   4.8651,    8.6118,    0.2438,  ...,  -17.8596,  -20.5673,
           -14.2426],
         [  -6.8853,   -9.1694,   -4.7536,  ...,    2.1414,   -0.3695,
             4.2234]]])","[None, None, None, None, '/t/dd00032']","[None, None, None, None, 'Funny music']"
